Job Title,Company Name,Date,Job Link
VP of Integration & Transformation,Pediatric Associates,4/2/23,https://www.linkedin.com/jobs/view/vp-of-integration-transformation-at-pediatric-associates-3551907757?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=YsQuK0lvboO%2FO4WJ2wiQXg%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
Chief Operating Officer,U.S. Department of Homeland Security,3/28/23,https://www.linkedin.com/jobs/view/chief-operating-officer-at-u-s-department-of-homeland-security-3555939954?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=DnGsbR41IZ8n6dQfILdzzQ%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
VP of Construction (FT),"Zimmerman Associates, Inc.",4/4/23,https://www.linkedin.com/jobs/view/vp-of-construction-ft-at-zimmerman-associates-inc-3553076585?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=zb7bk2eoO1lalPxx%2BvJ4yg%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
General Education Adjunct-College Algebra,Arizona College of Nursing,4/5/23,https://www.linkedin.com/jobs/view/general-education-adjunct-college-algebra-at-arizona-college-of-nursing-3557289046?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=v%2FXW8WdkFBKK6L8MXKn3fQ%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card
"Chief Human Resources Officer, WAMU (18603)",American University,3/16/23,https://www.linkedin.com/jobs/view/chief-human-resources-officer-wamu-18603-at-american-university-3550965949?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=UtMs2K8891MwzGVYCdg5Gw%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
Vice President of Sales,Beyond,4/4/23,https://www.linkedin.com/jobs/view/vice-president-of-sales-at-beyond-3554734446?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=4hVcZHXk7Twye3ZMhvNtqg%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card
Chief Operating Officer (COO),Goodville Mutual Casualty Company,4/5/23,https://www.linkedin.com/jobs/view/chief-operating-officer-coo-at-goodville-mutual-casualty-company-3558662466?refId=fprguZJbBECXGDXhHeJlAA%3D%3D&trackingId=F%2Bs1qcGR%2F%2F25JJIxD%2F0sOg%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card
General Manager,Krystal Restaurants LLC,4/4/23,https://www.linkedin.com/jobs/view/general-manager-at-krystal-restaurants-llc-3557440249?refId=fprguZJbBECXGDXhHeJlAA%3D%3D&trackingId=Eu3%2B8Tm1nw8k1JaSN9gZhQ%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card
VP of Clinical Operations,Sandstone Healthcare Group,3/19/23,https://www.linkedin.com/jobs/view/vp-of-clinical-operations-at-sandstone-healthcare-group-3555182670?refId=fprguZJbBECXGDXhHeJlAA%3D%3D&trackingId=98UUSLNyRk3pTxAj41LxcA%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card
Head of Dream Camps and Communities,DLP Capital,4/4/23,https://www.linkedin.com/jobs/view/head-of-dream-camps-and-communities-at-dlp-capital-3557054152?refId=fprguZJbBECXGDXhHeJlAA%3D%3D&trackingId=XSMAWyDEN%2B8mtJfFjgIUcw%3D%3D&position=4&pageNum=3&trk=public_jobs_jserp-result_search-card
MDS Nurse,Volunteers of America,3/28/23,https://www.linkedin.com/jobs/view/mds-nurse-at-volunteers-of-america-3558973710?refId=fprguZJbBECXGDXhHeJlAA%3D%3D&trackingId=PNuAAC498KlCLQKl6ZxcIQ%3D%3D&position=5&pageNum=3&trk=public_jobs_jserp-result_search-card
Program Manager,Adroit Software Inc.,4/5/23,https://www.linkedin.com/jobs/view/program-manager-at-adroit-software-inc-3555296889?refId=fprguZJbBECXGDXhHeJlAA%3D%3D&trackingId=%2BAFq14ozupnKwQDNysJGmg%3D%3D&position=6&pageNum=3&trk=public_jobs_jserp-result_search-card
