Industry,Female_Employee_Percentage,Male_Employee_Percentage,Female_LIWC,Male_LIWC
Technology,0.27,0.73,0,0.15
Technology,0.26,0.74,0,0.21
Technology,0.35,0.65,0,0
Technology,0.46,0.54,0,0.63
Technology,0.35,0.65,0,0.25
Technology,0.44,0.56,0,0.18
Technology,0.39,0.61,0,0
Technology,0.39,0.61,0,0.34
Technology,0.33,0.67,0,0
Technology,0.28,0.72,0,0.2
Technology,0.27,0.73,0,0.22
Technology,0.31,0.69,0,0
Technology,0.34,0.66,0,0
Technology,0.33,0.67,0,0
Technology,0.27,0.73,0.29,0
Technology,0.32,0.68,0,0.14
Technology,0.2,0.8,0,0
Technology,0.39,0.61,0,0
Technology,0.43,0.57,0,0.55
Technology,0.34,0.66,0,0
Technology,0.31,0.69,0,0.25
Technology,0.26,0.74,0,0
Technology,0.31,0.69,0.26,0.26
Technology,0.38,0.62,0,0
Technology,0.38,0.62,0,0
Technology,0.41,0.59,0,0
Technology,0.4,0.6,0,0.28
Technology,0.41,0.59,0,0
Technology,0.33,0.67,0,0
Technology,0.25,0.75,0,0
Technology,0.36,0.64,0,0
Technology,0.38,0.62,0,0
Technology,0.34,0.66,0,0
Technology,0.25,0.75,0,0.11
Technology,0.36,0.64,0,0.11
Technology,0.28,0.72,0,0
Technology,0.43,0.57,0.19,0
Technology,0.51,0.49,0,0
Technology,0.22,0.78,0,0
Technology,0.39,0.61,0,0
Technology,0.35,0.65,0.56,0
Technology,0.43,0.57,0,0
Technology,0.38,0.62,0.2,0
Technology,0.19,0.81,0,0
Technology,0.45,0.55,0,0
Technology,0.3,0.7,0,0.46
Technology,0.3,0.7,0,0
Technology,0.45,0.55,0,0
Technology,0.27,0.73,0,0
Technology,0.3,0.7,0.7,0
Technology,0.41,0.59,0,0
Technology,0.34,0.66,0.28,0.56
Technology,0.41,0.59,0,0
Technology,0.44,0.56,0.1,0.1
Technology,0.37,0.63,0.14,0.41
Technology,0.38,0.62,0,0.16
Technology,0.29,0.71,0,0.27
Technology,0.45,0.55,0,0
Technology,0.37,0.63,0,0
Technology,0.34,0.66,0.7,0.35
Technology,0.33,0.67,0,0
Technology,0.29,0.71,0,0.2
Technology,,,0,0
Technology,,,0,0
Technology,,,0,0
Technology,,,0,0.77
Technology,,,0,0.24
Technology,,,0,0
Technology,,,0,0
Technology,,,0,0.19
Technology,,,0.96,0
Technology,,,0,0
Technology,,,0,0
Technology,,,0,0.17
Technology,,,0,0
Technology,,,0,0.13
Technology,,,0,0
Technology,,,0,0
Technology,,,0,0
Technology,,,0.34,0
Technology,,,0,0
Technology,,,0.2,0.2
Technology,,,0,0
Technology,,,0,0
Telecommunications,0.36,0.64,0,0
Telecommunications,0.29,0.71,0.34,0.34
Telecommunications,0.33,0.67,0,0.26
Telecommunications,0.37,0.63,0.28,0
Telecommunications,0.37,0.63,0,0
Telecommunications,0.34,0.66,0,0
Telecommunications,0.51,0.49,0,0.23
Telecommunications,0.28,0.72,0,0.22
Telecommunications,0.5,0.5,0,0
Telecommunications,0.36,0.64,0,0
Telecommunications,0.36,0.64,0,0
Telecommunications,0.36,0.64,0,0
Telecommunications,0.41,0.59,0.14,0.14
Telecommunications,0.31,0.69,0,0
Telecommunications,0.43,0.57,0,0
Telecommunications,0.47,0.53,0,0
Telecommunications,0.4,0.6,0,0
Telecommunications,0.45,0.55,0,0
Telecommunications,0.37,0.63,0,0
Telecommunications,0.47,0.53,0,0
Telecommunications,0.44,0.56,0,0
Telecommunications,0.47,0.53,0,0
