Industry,Female_Employee_Percentage,Male_Employee_Percentage
Retail,0.40,0.60
Retail,0.49,0.51
Retail,0.67,0.33
Retail,0.58,0.42
Retail,0.36,0.64
Retail,0.55,0.45
Retail,0.47,0.53
Retail,0.46,0.54
Retail,0.52,0.48
Retail,0.35,0.65
Retail,0.42,0.58
Retail,0.63,0.37
Retail,0.54,0.46
Retail,0.60,0.40
Retail,0.34,0.66
Retail,0.69,0.31
Retail,0.67,0.33
Retail,0.43,0.57
Retail,0.74,0.26
Retail,0.35,0.65
Retail,0.26,0.74
Retail,0.51,0.49
Retail,0.32,0.68
Retail,0.53,0.47
Retail,0.38,0.62
Retail,0.34,0.66
Retail,0.46,0.54
Retail,0.53,0.47
Retail,0.44,0.56
Retail,0.73,0.27
Retail,0.39,0.61
Retail,0.52,0.48
Retail,0.36,0.64
Retail,0.51,0.49
Retail,0.60,0.40
Retail,0.35,0.65
Retail,0.41,0.59
Retail,0.28,0.72
Retail,0.61,0.39
Retail,0.54,0.46
Retail,0.62,0.38
Retail,0.61,0.39
Retail,0.76,0.24
Retail,0.42,0.58
Retail,0.62,0.38
Retail,0.40,0.60
Retail,0.64,0.36
Retail,0.71,0.29
Retail,0.25,0.75
Retail,0.55,0.45
Retail,0.52,0.48
Retail,0.49,0.51
Retail,0.53,0.47
Retail,0.50,0.50
Retail,0.69,0.31
Retail,0.47,0.53
Retail,0.49,0.51
Retail,0.66,0.34
Retail,0.52,0.48
Retail,0.76,0.24
Retail,0.57,0.43
Retail,0.62,0.38
Retail,0.47,0.53
Retail,0.47,0.53
Retail,0.40,0.60
Retail,0.88,0.12
Retail,0.38,0.62
Retail,0.28,0.72
Retail,0.40,0.60
Retail,0.42,0.58
Retail,0.41,0.59
Retail,0.27,0.73
Retail,0.69,0.31
Retail,0.35,0.65
Retail,0.53,0.47
Retail,0.44,0.56
Retail,0.54,0.46
Retail,0.46,0.54
Retail,0.44,0.56
Retail,0.31,0.69
Retail,0.53,0.47
Retail,0.40,0.60
Technology,0.75,0.25
Technology,0.31,0.69
Technology,0.43,0.57
Technology,0.42,0.58
Technology,0.25,0.75
